
**** VECTORS ****
time spent on the queue PolicyA.queue ($0=123, #0 - General-0-20220620-05:31:03-32256)		queue size after modification PolicyA.queue ($0=123, #0 - General-0-20220620-05:31:03-32256)		queue size per minute PolicyA.queue ($0=123, #0 - General-0-20220620-05:31:03-32256)		client processing order PolicyA.queue ($0=123, #0 - General-0-20220620-05:31:03-32256)		processing time with client order PolicyA.queue ($0=123, #0 - General-0-20220620-05:31:03-32256)		till processing order PolicyA.queue ($0=123, #0 - General-0-20220620-05:31:03-32256)		client total time in the till PolicyA.queue ($0=123, #0 - General-0-20220620-05:31:03-32256)	
1996.105	123.25	1367.304	7	4020	0	2252.455	66	2252.455	250.3499999999999652	2252.455	2	2252.455	256.350000000000022
2027.732	127.8959999999999862	1377.833	6	4080	0	2314.404	67	2314.404	282.6720000000000245	2314.404	1	2314.404	286.6720000000000245
2081.722	171.502000000000009	1389.378	7	4140	1	2345.544	68	2345.544	251.822000000000002	2345.544	5	2345.544	263.822000000000002
2105.973	187.4859999999999891	1396.37	6	4200	4	2351.883	69	2351.883	229.9099999999999672	2351.883	7	2351.883	245.9099999999999672
2113.632	181.3849999999999901	1416.922	5	4260	4	2391.501	70	2391.501	259.8690000000000275	2391.501	8	2391.501	277.8690000000000275
2126.008	160.8059999999999827	1432.516	4	4320	2	2417.735	71	2417.735	277.7269999999999745	2417.735	6	2417.735	291.7269999999999742
2149.7	160.4060000000000053	1435.742	3	4380	0	2420.31	73	2420.31	257.5419999999999157	2420.31	4	2420.31	267.5419999999999157
2152.768	160.115999999999985	1454.348	4	4440	0	2436.352	74	2436.352	249.3199999999999925	2436.352	0	2436.352	251.3199999999999925
2185.032	184.137	1464.315	3	4500	0	2451.112	75	2451.112	241.6569999999999807	2451.112	3	2451.112	249.6569999999999807
2201.455	196.3509999999999983	1515.809	2	4560	5	2485.666	72	2485.666	315.966000000000007	2485.666	9	2485.666	335.9660000000000065
2252.455	182.5169999999999952	1523.722	1	4620	7	2518.094	76	2518.094	259.639000000000009	2518.094	2	2518.094	265.639000000000009
2314.404	188.2429999999999945	1571.198	0	4680	5	2551.454	77	2551.454	233.0500000000000105	2551.454	1	2551.454	237.0500000000000105
2345.544	168.2819999999999816	1609.314	0	4740	5	2630.109	79	2630.109	262.225999999999998	2630.109	7	2630.109	278.2259999999999977
2351.883	161.5	1620.83	1	4800	7	2633.468	78	2633.468	275.9239999999999775	2633.468	5	2633.468	287.923999999999977
2391.501	140.2389999999999755	1640.152	0	4860	6	2654.861	80	2654.861	245.3600000000000127	2654.861	8	2654.861	263.3600000000000127
2417.735	140.5509999999999872	1692.992	0	4920	8	2675.811	83	2675.811	237.4590000000000025	2675.811	0	2675.811	239.4590000000000025
2420.31	117.0559999999999828	1770.753	0	4980	7	2700.276	81	2700.276	268.540999999999939	2700.276	6	2700.276	282.540999999999939
2436.352	133.0169999999999955	1808.034	0	5040	6	2721.163	82	2721.163	290.8529999999999507	2721.163	4	2721.163	300.8529999999999507
2451.112	72.0490000000000063	1809.371	0	5100	4	2739.483	84	2739.483	280.37099999999998	2739.483	3	2739.483	288.3709999999999795
2485.666	35.87899999999999052	1817.263	0	5160	4	2760.052	85	2760.052	254.3859999999999662	2760.052	9	2760.052	274.3859999999999662
2518.094	58.3549999999999895	1828.168	0	5220	4	2821.392	86	2821.392	297.2980000000000007	2821.392	2	2821.392	303.2980000000000007
2551.454	22.05799999999999971	1842.518	0	5280	4	2860.166	87	2860.166	304.711999999999988	2860.166	1	2860.166	308.711999999999988
2630.109	87.6949999999999929	1857.752	0	5340	3	2904.535	91	2904.535	226.7239999999999885	2904.535	0	2904.535	228.7239999999999885
2633.468	51.65500000000000095	1857.876	1	5400	3	2908.288	88	2908.288	262.1789999999999727	2908.288	7	2908.288	278.1789999999999725
2654.861	67.53399999999999155	1871.074	2	5460	2	2938.761	92	2938.761	224.4850000000000128	2938.761	6	2938.761	238.4850000000000127
