
**** VECTORS ****
time spent on the queue PolicyA.queue ($0=123, #0 - General-0-20220621-02:57:15-6016)		queue size after modification PolicyA.queue ($0=123, #0 - General-0-20220621-02:57:15-6016)		queue size per minute PolicyA.queue ($0=123, #0 - General-0-20220621-02:57:15-6016)		client processing order PolicyA.queue ($0=123, #0 - General-0-20220621-02:57:15-6016)		processing time with client order PolicyA.queue ($0=123, #0 - General-0-20220621-02:57:15-6016)		till processing order PolicyA.queue ($0=123, #0 - General-0-20220621-02:57:15-6016)		client total time in the till PolicyA.queue ($0=123, #0 - General-0-20220621-02:57:15-6016)		number of clients entering the queue per timer interval PolicyA.source ($0=123, #0 - General-0-20220621-02:57:15-6016)	
232941.388	1497.896999999999928	116896.591	22			233168.569	8280	233168.569	789.97399999999993	233168.569	6	233168.569	803.97399999999993		
232946.062	1456.462999999999732	116907.43	23			233211.876	8300	233211.876	210.072000000000002	233211.876	5	233211.876	222.072000000000002		
232989.026	1427.193999999999956	116911.241	24			233213.783	8298	233213.783	259.7210000000000027	233213.783	3	233213.783	267.7210000000000027		
232989.804	1350.451999999999766	116923.115	25			233214.151	8305	233214.151	95.3379999999999935	233214.151	4	233214.151	105.3379999999999935		
233033.014	1355.348999999999701	116948.683	24			233224.264	8304	233224.264	95.912999999999982	233224.264	9	233224.264	115.912999999999982		
233080.32	1380.17299999999977	116959.692	25			233308.269	8310	233308.269	84.11799999999999455	233308.269	4	233308.269	94.1179999999999945		
233100.375	1393.980000000000013	116966.469	26			233311.689	8303	233311.689	205.313999999999964	233311.689	2	233311.689	211.313999999999964		
233108.351	1376.826000000000016	116981.756	25			233325.99	8306	233325.99	179.6119999999999657	233325.99	8	233325.99	197.6119999999999657		
233108.813	1364.46599999999989	117000.325	26			233341.362	8311	233341.362	97.0979999999999844	233341.362	9	233341.362	117.0979999999999843		
233128.378	1292.851000000000108	117008.37	25			233356.417	8293	233356.417	469.7719999999999325	233356.417	1	233356.417	473.7719999999999325		
